公司代號,公司名稱,營利事業統一編號
2345,智邦科技股份有限公司,22099287
2347,聯強國際股份有限公司,23060541
2348,海悅國際開發股份有限公司,22624873
2349,錸德科技股份有限公司,23218873
2351,順德工業股份有限公司,58506816
2352,佳世達科技股份有限公司,12490306
2353,宏碁股份有限公司,20828393
2354,鴻準精密工業股份有限公司,23707801
2355,敬鵬工業股份有限公司,43816068
2356,英業達股份有限公司,4322046
2357,華碩電腦股份有限公司,23638777
2358,廷鑫興業股份有限公司,22447526
2359,所羅門股份有限公司,23640801
2360,致茂電子股份有限公司,9461025
2362,藍天電腦股份有限公司,9424319
2363,矽統科技股份有限公司,22099202
2364,倫飛電腦實業股份有限公司,79883646
2365,昆盈企業股份有限公司,5141520
2367,燿華電子股份有限公司,5637971
2368,金像電子(股)公司,30955404
2369,菱生精密工業股份有限公司,55625676
2371,大同股份有限公司,11026506
2373,震旦行股份有限公司,3568400
2374,佳能企業股份有限公司,11394902
2375,智寶電子股份有限公司,34230543
2376,技嘉科技股份有限公司,22044755
2377,微星科技股份有限公司,22178368
2379,瑞昱半導體股份有限公司,22671299
2380,虹光精密工業股份有限公司,22099759
2382,廣達電腦股份有限公司,22822281
2383,台光電子材料股份有限公司,86521351
2385,群光電子股份有限公司,20954200
2387,精元電腦股份有限公司,86244265
2388,威盛電子股份有限公司,86870786
2390,云辰電子開發股份有限公司,34412092
2392,正崴精密工業股份有限公司,22223510
2393,億光電子工業股份有限公司,34516147
2395,研華股份有限公司,5155853
2397,友通資訊股份有限公司,30950652
2399,映泰股份有限公司,23826200
2401,凌陽科技股份有限公司,23821182
2402,毅嘉科技股份有限公司,23588039
2404,漢唐集成股份有限公司,20938096
2405,浩鑫股份有限公司,20980880
2406,國碩科技工業股份有限公司,97178376
2408,南亞科技股份有限公司,89390656
2409,友達光電股份有限公司,84149738
2412,中華電信股份有限公司,96979933
2413,環隆科技股份有限公司,52878846
2414,精技電腦股份有限公司,12215548
2415,錩新科技股份有限公司,44913118
2417,圓剛科技股份有限公司,23611974
2419,仲琦科技股份有限公司,22029190
2420,新巨企業股份有限公司,20970807
2421,建準電機工業股份有限公司,81448796
2423,固緯電子實業股份有限公司,4735004
2424,隴華電子股份有限公司,4926876
2425,承啟科技股份有限公司,22332192
2426,鼎元光電科技股份有限公司,22434156
2427,三商電腦股份有限公司,31275691
2428,興勤電子工業股份有限公司,83639504
2429,銘旺科技股份有限公司,12206203
2430,燦坤實業股份有限公司,69568009
2431,聯昌電子企業股份有限公司,35568331
2433,互盛股份有限公司,12516241
2434,統懋半導體股份有限公司,22404266
2436,偉詮電子股份有限公司,22099499
2438,翔耀實業股份有限公司,12364770
2439,美律實業股份有限公司,52375605
2440,太空梭高傳真資訊科技(股)公司,1887370
2441,超豐電子股份有限公司,5126366
2442,新美齊股份有限公司,22006274
2443,新利虹科技股份有限公司,97165506
2444,兆勁科技股份有限公司,89549446
2448,晶元光電股份有限公司,84149786
2449,京元電子股份有限公司,22507241
2450,神腦國際企業股份有限公司,12228473
2451,創見資訊股份有限公司,23446187
2453,凌群電腦股份有限公司,4967550
2454,聯發科技股份有限公司,84149961
2455,全新光電科技股份有限公司,97170472
2456,奇力新電子股份有限公司,47006693
2457,飛宏科技股份有限公司,30435973
2458,義隆電子股份有限公司,84149224
2459,敦吉科技股份有限公司,20863763
2460,建通精密工業股份有限公司,84433564
2461,光群雷射科技股份有限公司,22099322
2462,台灣良得電子股份有限公司,4877657
2464,盟立自動化股份有限公司,22099478
2465,麗臺科技股份有限公司,22325002
2466,冠西電子企業股份有限公司,34348590
2467,志聖工業股份有限公司,7618057
2468,華經資訊企業股份有限公司,12115702
2471,資通電腦股份有限公司,20873360
2472,立隆電子工業股份有限公司,52358985
2474,可成科技股份有限公司,69905810
2476,鉅祥企業股份有限公司,4403568
2477,美隆工業股份有限公司,33750329
2478,大毅科技股份有限公司,23534301
